Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,PG,Cameron Payne (30546334),Cameron Payne,30546334,PG/G/UTIL,4900,PHI@MIL 10/26/2023 07:30PM ET,MIL,20.76
,,,,,,,,,,,,,C,Christian Wood (30546337),Christian Wood,30546337,C/UTIL,4800,PHX@LAL 10/26/2023 10:00PM ET,LAL,31.69
,,,,,,,,,,,,,SF,Josh Okogie (30546339),Josh Okogie,30546339,SF/F/UTIL,4700,PHX@LAL 10/26/2023 10:00PM ET,PHX,15.7
,,,,,,,,,,,,,SG/SF,Pat Connaughton (30546342),Pat Connaughton,30546342,SG/SF/F/G/UTIL,4600,PHI@MIL 10/26/2023 07:30PM ET,MIL,18
,,,,,,,,,,,,,PG,Patrick Beverley (30546347),Patrick Beverley,30546347,PG/G/UTIL,4500,PHI@MIL 10/26/2023 07:30PM ET,PHI,18.21
,,,,,,,,,,,,,SG/SF,Eric Gordon (30546350),Eric Gordon,30546350,SG/SF/F/G/UTIL,4400,PHX@LAL 10/26/2023 10:00PM ET,PHX,20.81
,,,,,,,,,,,,,SF/PF,Taurean Prince (30546355),Taurean Prince,30546355,SF/PF/F/UTIL,4300,PHX@LAL 10/26/2023 10:00PM ET,LAL,15.98
,,,,,,,,,,,,,SG/SF,Grayson Allen (30546359),Grayson Allen,30546359,SG/SF/F/G/UTIL,4200,PHX@LAL 10/26/2023 10:00PM ET,PHX,20.46
,,,,,,,,,,,,,SF/PF,Jae Crowder (30546364),Jae Crowder,30546364,SF/PF/F/UTIL,4100,PHI@MIL 10/26/2023 07:30PM ET,MIL,14.33
,,,,,,,,,,,,,PF,Rui Hachimura (30546368),Rui Hachimura,30546368,PF/F/UTIL,4000,PHX@LAL 10/26/2023 10:00PM ET,LAL,19.58
,,,,,,,,,,,,,C,Drew Eubanks (30546371),Drew Eubanks,30546371,C/UTIL,3900,PHX@LAL 10/26/2023 10:00PM ET,PHX,18.64
,,,,,,,,,,,,,PF/C,Jarred Vanderbilt (30546373),Jarred Vanderbilt,30546373,PF/C/F/UTIL,3800,PHX@LAL 10/26/2023 10:00PM ET,LAL,21.39
,,,,,,,,,,,,,PG/SG,Gabe Vincent (30546377),Gabe Vincent,30546377,PG/SG/G/UTIL,3700,PHX@LAL 10/26/2023 10:00PM ET,LAL,18.78
,,,,,,,,,,,,,PF/C,P.J. Tucker (30546381),P.J. Tucker,30546381,PF/C/F/UTIL,3600,PHI@MIL 10/26/2023 07:30PM ET,PHI,11.8
,,,,,,,,,,,,,PF/C,Paul Reed (30546385),Paul Reed,30546385,PF/C/F/UTIL,3600,PHI@MIL 10/26/2023 07:30PM ET,PHI,12.39
,,,,,,,,,,,,,SF/PF,Danuel House Jr. (30546389),Danuel House Jr.,30546389,SF/PF/F/UTIL,3500,PHI@MIL 10/26/2023 07:30PM ET,PHI,8.56
,,,,,,,,,,,,,SG/SF,Marjon Beauchamp (30546393),Marjon Beauchamp,30546393,SG/SF/F/G/UTIL,3500,PHI@MIL 10/26/2023 07:30PM ET,MIL,9.74
,,,,,,,,,,,,,SF,Cam Reddish (30546398),Cam Reddish,30546398,SF/F/UTIL,3400,PHX@LAL 10/26/2023 10:00PM ET,LAL,17.19
,,,,,,,,,,,,,SF,Danny Green (30546401),Danny Green,30546401,SF/F/UTIL,3400,PHI@MIL 10/26/2023 07:30PM ET,PHI,8.48
,,,,,,,,,,,,,PF,Yuta Watanabe (30546404),Yuta Watanabe,30546404,PF/F/UTIL,3300,PHX@LAL 10/26/2023 10:00PM ET,PHX,11.48
,,,,,,,,,,,,,SF,Furkan Korkmaz (30546407),Furkan Korkmaz,30546407,SF/F/UTIL,3300,PHI@MIL 10/26/2023 07:30PM ET,PHI,6.32
,,,,,,,,,,,,,PG,Jordan Goodwin (30546410),Jordan Goodwin,30546410,PG/G/UTIL,3200,PHX@LAL 10/26/2023 10:00PM ET,PHX,17.32
,,,,,,,,,,,,,SF/PF,Nassir Little (30546413),Nassir Little,30546413,SF/PF/F/UTIL,3200,PHX@LAL 10/26/2023 10:00PM ET,PHX,12.99
,,,,,,,,,,,,,C,Jaxson Hayes (30546422),Jaxson Hayes,30546422,C/UTIL,3100,PHX@LAL 10/26/2023 10:00PM ET,LAL,11.1
,,,,,,,,,,,,,PG/SF,Andre Jackson Jr. (30546417),Andre Jackson Jr.,30546417,PG/SF/F/G/UTIL,3100,PHI@MIL 10/26/2023 07:30PM ET,MIL,0
,,,,,,,,,,,,,SF,Alex Fudge (30546444),Alex Fudge,30546444,SF/F/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,LAL,0
,,,,,,,,,,,,,SF,Maxwell Lewis (30546447),Maxwell Lewis,30546447,SF/F/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,LAL,0
,,,,,,,,,,,,,C,Colin Castleton (30546450),Colin Castleton,30546450,C/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,LAL,0
,,,,,,,,,,,,,SG,D'Moi Hodge (30546452),D'Moi Hodge,30546452,SG/G/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,LAL,0
,,,,,,,,,,,,,SG/SF,Max Christie (30546455),Max Christie,30546455,SG/SF/F/G/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,LAL,6.41
,,,,,,,,,,,,,PG/SG,Jalen Hood-Schifino (30546460),Jalen Hood-Schifino,30546460,PG/SG/G/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,LAL,0
,,,,,,,,,,,,,PF,Keita Bates-Diop (30546483),Keita Bates-Diop,30546483,PF/F/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,PHX,18.56
,,,,,,,,,,,,,PG,Saben Lee (30546486),Saben Lee,30546486,PG/G/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,PHX,13.71
,,,,,,,,,,,,,C,Chimezie Metu (30546489),Chimezie Metu,30546489,C/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,PHX,10.23
,,,,,,,,,,,,,C,Udoka Azubuike (30546491),Udoka Azubuike,30546491,C/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,PHX,8.98
,,,,,,,,,,,,,C,Bol Bol (30546493),Bol Bol,30546493,C/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,PHX,20.6
,,,,,,,,,,,,,PG,Damion Lee (30546495),Damion Lee,30546495,PG/G/UTIL,3000,PHX@LAL 10/26/2023 10:00PM ET,PHX,14.23
,,,,,,,,,,,,,C,Robin Lopez (30546424),Robin Lopez,30546424,C/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,MIL,5.68
,,,,,,,,,,,,,PG,TyTy Washington Jr. (30546426),TyTy Washington Jr.,30546426,PG/G/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,MIL,9.94
,,,,,,,,,,,,,C,Marques Bolden (30546429),Marques Bolden,30546429,C/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,MIL,0
,,,,,,,,,,,,,PF/C,Thanasis Antetokounmpo (30546431),Thanasis Antetokounmpo,30546431,PF/C/F/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,MIL,3.45
,,,,,,,,,,,,,PG,Lindell Wigginton (30546435),Lindell Wigginton,30546435,PG/G/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,MIL,11.75
,,,,,,,,,,,,,PG,AJ Green (30546438),AJ Green,30546438,PG/G/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,MIL,7.79
,,,,,,,,,,,,,PF,Chris Livingston (30546441),Chris Livingston,30546441,PF/F/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,MIL,0
,,,,,,,,,,,,,PG,Javonte Smart (30546464),Javonte Smart,30546464,PG/G/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,PHI,0
,,,,,,,,,,,,,SG,Jaden Springer (30546467),Jaden Springer,30546467,SG/G/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,PHI,5.08
,,,,,,,,,,,,,C,Mo Bamba (30546470),Mo Bamba,30546470,C/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,PHI,15.47
,,,,,,,,,,,,,PF/C,Azuolas Tubelis (30546472),Azuolas Tubelis,30546472,PF/C/F/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,PHI,0
,,,,,,,,,,,,,PG,Terquavion Smith (30546476),Terquavion Smith,30546476,PG/G/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,PHI,0
,,,,,,,,,,,,,PF/C,Filip Petrusev (30546479),Filip Petrusev,30546479,PF/C/F/UTIL,3000,PHI@MIL 10/26/2023 07:30PM ET,PHI,0
